OutputText;Text;Intent;MatchedEntities;Response;State;Color;Brightness;Temperature;Delay
C'è in di luce a tibu.;accendi luce tv;HassTurnOn;['light.punto_luce_tv'];default;;;;;2.1216909465471154
Accendi luce lumma.;accendi luce lume;HassTurnOn;['light.punto_luce_lume'];default;;;;;2.9093940328883967
accendi luce radio;accendi luce radio;HassTurnOn;['light.punto_luce_radio'];default;;;;;1.8793094896309919
Cendi lute forno.;accendi luce forno cucina;HassTurnOn;['light.punto_luce_forno'];default;;;;;2.4136190160159217
Apri porta terrazzo.;apri porta terrazzo;HassTurnOn;['cover.porta_terrazza'];default;;;;;0.8953742406224234
acendi lucia terrazzo;accendi luce terrazzo;HassTurnOn;['light.punto_luce_porta_1'];default;;;;;0.7013612858850309
a riporta banyo 1.;apri porta bagno 1;HassTurnOn;['cover.porta_2'];default;;;;;1.3613017159805867
Apri finestra bagno uno.;apri finestra bagno 1;HassTurnOn;['cover.finestra_3'];default;;;;;1.4154861307408884
apri portacamera;apri porta camera;HassTurnOn;['cover.porta_1'];default;;;; ;0.8334457258589165
Apri finestra camera.;apri finestra camera;HassTurnOn;['cover.finestra'];default;;;;;2.913058293725761
Accendi luce, camera daletto.;accendi luce camera da letto;HassTurnOn;['light.punto_luce_porta_2'];default;;;;;1.4841745343951036
A pri porta bagno 2.;apri porta bagno 2;HassTurnOn;['cover.porta_3'];default;;;;;2.209164947123785
Apri finestra bagno 2.;apri finestra bagno 2;HassTurnOn;['cover.finestra_4'];default;;;;;0.9979161230025247
apri porta cameretta;apri porta cameretta;HassTurnOn;['cover.porta_4'];default;;;;;2.6262581317055487
apri finessi tra cameretta;apri finestra cameretta;HassTurnOn;['cover.finestra_4'];default;;;;;1.8487294573281996
Accendi, luce, cameretta.;accendi luce cameretta;HassTurnOn;['light.punto_luce_porta_5'];default;;;;;2.6426628362891025
A riporta ingresso.;apri porta ingresso;HassTurnOn;['cover.porta'];default;;;;;1.0170568318257938
apri i tendini a terrazzo.;apri tendina terrazzo;HassTurnOn;['cover.tendina'];default;;;;;2.919511892704081
Accendi condizionatore a sopra.;accendi condizionatore sopra;HassTurnOn;['climate.condizionatore_su'];default;;;;;1.7097378400913001
a prie finestre.;apri finestre;HassTurnOn;['cover.finestra_1','cover.finestra_2','cover.finestra_cucina','cover.finestra','cover.finestra_3',cover.'finestra_4'];default;;;;;0.809173883465988
accendile luci;accendi le luci;HassTurnOn;['light.punto_luce_tv','light.punto_luce_radio','light.punto_luce_lume','light.punto_luce_porta_1','light.punto_luce_forno','light.punto_luce_porta_2','light.punto_luce_porta_3','light.punto_luce_porta_4','light.punto_luce_porta_5','light.punto_luce_porta_6'];default;;;;;2.6014733845504137
spenni luce di bu;spegni luce tv;HassTurnOff;['light.punto_luce_tv'];default;;;;;2.5595721189663747
spenni luce lume;spegni luce lume;HassTurnOff;['light.punto_luce_lume'];default;;;;;2.4721107949268544
spengli luce radio;spegni luce radio;HassTurnOff;['light.punto_luce_radio'];default;;;;;1.9688056365631965
Spigni luce porta;spegni luce porta;HassTurnOff;['light.punto_luce_porta_1'];default;;;;;2.745416444243815
chiudi finestra 1;chiudi finestra 1;HassTurnOff;['cover.finestra_1'];default;;;;;1.3833248617863108
più di finesca 2;chiudi finestra 2;HassTurnOff;['cover.finestra_2'];default;;;;;1.9654648459864994
chiudi porta in grasso;chiudi porta ingresso;HassTurnOff;['cover.porta'];cover_device_class_area;;;;;2.69869529373333
chiudi porta terrazzo;chiudi porta terrazzo;HassTurnOff;['cover.porta_terrazza'];cover_device_class_area;;;;;2.7864387278893346
più di finesca cucina;chiudi finestra cucina;HassTurnOff;['cover.finestra_cucina'];default;;;;;2.9879363806610515
più di finestra bagno 1;chiudi finestra bagno 1;HassTurnOff;['cover.finestra_3'];default;;;;;1.5683329303834996
Chiudi porta bagno uno;chiudi porta bagno 1;HassTurnOff;['cover.porta_2'];cover_device_class_area;;;;;2.8321104263824455
più di fine sfra camera daletto;chiudi finestra camera da letto;HassTurnOff;['cover.finestra'];cover_device_class_area;;;;;2.1205366100966985
più di porta camera daletto;chiudi porta camera da letto;HassTurnOff;['cover.porta_1'];cover_device_class_area;;;;;0.7298289558763439
Spigni, luce e camera daletto.;spegni luce camera da letto;HassTurnOff;['light.punto_luce_porta_2'];default;;;;;1.0345289993345714
Spiegnere l'uice camera.;spegni luce cameretta;HassTurnOff;['light.punto_luce_porta_5'];default;;;;;1.5496670401045605
chiudi finestra cammeretta;chiudi finestra cameretta;HassTurnOff;['cover.finestra_5'];default;;;;;2.4399693178116135
chiù di porta cameretta;chiudi porta cameretta;HassTurnOff;['cover.porta_4'];default;;;;;2.118796200180352
Chiudi Finestra Bagnolo 2;chiudi finestra bagno 2;HassTurnOff;['cover.finestra_4'];default;;;;;2.5578757323453507
spienghi luce banno 2;spegni luce bagno 2;HassTurnOff;['light.punto_luce_porta_4'];default;;;;;1.0823782329586225
Chiudi porta banio 2;chiudi porta bagno 2;HassTurnOff;['cover.porta_3'];default;;;;;2.0798628858493724
spiegni condizionatore a sopra;spegni condizionatore sopra;HassTurnOff;['climate.condizionatore_su'];default;;;;;1.749298848819028
Accendi luce, ti vuo al 50%.;accendi luce tv al 50%;HassLightSet;['light.punto_luce_tv'];brightness;;;50.0;;0.846194150658721
Accendi luce l'ume al 30%;accendi luce lume al 30%;HassLightSet;['light.punto_luce_lume'];brightness;;;30.0;;1.224694757847863
Fendi luce radio al 20%;accendi luce radio al 20%;HassLightSet;['light.punto_luce_radio'];brightness;;;20.0;;1.5658109060544527
