,Text,Intent,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62,v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_71,v_72,v_73,v_74,v_75,v_76,v_77,v_78,v_79,v_80,v_81,v_82,v_83,v_84,v_85,v_86,v_87,v_88,v_89,v_90,v_91,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99
0,"['quant', ""'"", 'temperatura', 'custom_area']",HassClimateGetTemperature,0.03544595092535019,-0.049183256924152374,-0.009831598028540611,-0.0023705139756202698,-0.02122238278388977,0.019863329827785492,-0.0017191562801599503,0.04139973223209381,-0.062377627938985825,-0.01532645896077156,-0.02626134641468525,-0.022974591702222824,0.006165754050016403,0.060175977647304535,0.02427712269127369,0.05311424285173416,0.031048621982336044,-0.01612870581448078,0.02228865958750248,-0.011188538745045662,0.00010034628212451935,-0.004947449080646038,-0.026820125058293343,0.0018464182503521442,-0.005654821638017893,-0.02371877059340477,-0.00397425377741456,0.011395520530641079,0.01784661039710045,0.025501856580376625,-0.007866463623940945,0.026513472199440002,-0.0023199892602860928,-0.011537482030689716,0.004878927953541279,-0.00447165546938777,0.1031671017408371,0.12097985297441483,-0.06749144941568375,-0.06648098677396774,-0.007994079031050205,-0.01689033955335617,-0.009715994819998741,0.0050491224974393845,-0.0074690054170787334,-0.08414541929960251,-0.002040908671915531,0.03569364175200462,0.004511942621320486,0.02409212291240692,0.0035562715493142605,0.009431334212422371,0.018832597881555557,-0.028396539390087128,-0.041364848613739014,0.005832175724208355,-0.012747140601277351,-0.005326316691935062,-0.020932354032993317,-0.005090364255011082,-0.010635207407176495,-0.06853961944580078,0.025957338511943817,0.008604414761066437,-0.019409913569688797,0.019752781838178635,-0.019114714115858078,-0.015125256963074207,0.015752136707305908,-0.0038735829293727875,-0.01610025204718113,-0.01778150536119938,0.020786521956324577,-0.014415310695767403,0.021155260503292084,-0.006041097454726696,-0.024709751829504967,-0.00941422488540411,0.006571073085069656,0.03931713104248047,0.03816879913210869,-0.0009272778406739235,0.02177375555038452,0.0214626993983984,-0.004605839028954506,-0.007982396520674229,0.02821452170610428,-0.03391582518815994,-0.016243787482380867,-0.001111770747229457,0.054781511425971985,0.030795777216553688,0.002571190008893609,0.01680564507842064,0.03207975625991821,-0.0017038753721863031,-0.010290645062923431,-0.03131869435310364,0.026122644543647766,0.01574670895934105
1,"['puoi', 'dirmi', 'freddo', 'fa', 'custom_area']",HassClimateGetTemperature,0.19500131905078888,-0.15873417258262634,-0.16523662209510803,0.023824281990528107,-0.1964014619588852,0.03920537233352661,-0.025594299659132957,0.10122393071651459,-0.0909477099776268,-0.09892521053552628,0.045935116708278656,-0.12483338266611099,-0.055431269109249115,0.05621953681111336,0.02868768572807312,0.15663942694664001,0.03546292334794998,-0.1245352253317833,0.1700972616672516,0.014226113446056843,-0.018774019554257393,0.13637405633926392,-0.10843455791473389,0.013051862828433514,-0.042906876653432846,-0.05847645923495293,0.06448176503181458,-0.02652108669281006,0.052695583552122116,0.11944930255413055,0.01151265762746334,0.027316361665725708,-0.09650498628616333,0.007126609329134226,0.008760555647313595,-0.002081971149891615,0.04772697761654854,0.19310644268989563,-0.1978268325328827,-0.09174174815416336,-0.007127322256565094,0.003233822528272867,0.03836283087730408,0.02970944717526436,0.0032894653268158436,0.017403457313776016,-0.03507307544350624,0.03672463446855545,-0.09767390787601471,0.05480445548892021,0.05228715389966965,0.0468098446726799,-0.03204838186502457,0.04719531536102295,-0.07370921969413757,-0.03152833506464958,0.023765137419104576,-0.035627298057079315,-0.004929773509502411,-0.008413896895945072,0.06750544160604477,-0.023918181657791138,0.014593432657420635,0.05023614689707756,-0.03033141791820526,0.010950837284326553,0.08060615509748459,-0.006918000523000956,-0.03146912902593613,-0.06505914032459259,-0.021640639752149582,-0.016589945182204247,0.032927900552749634,-0.015371052548289299,0.08022506535053253,-0.07040362060070038,-0.008410872891545296,0.03398671746253967,-0.01211038138717413,-0.004139169119298458,0.053034909069538116,0.021501878276467323,0.01728823222219944,0.013241147622466087,0.09865743666887283,-0.004495692905038595,-0.054742105305194855,-0.07546188682317734,-0.040872953832149506,-0.0042596058920025826,0.060710370540618896,0.03570451959967613,-0.0022048517130315304,-0.05372672528028488,0.10140141099691391,0.03688085824251175,0.020460251718759537,0.029478978365659714,-0.051464520394802094,0.052895437926054
2,"['gradi', 'celsius', 'custom_area']",HassClimateGetTemperature,0.040207408368587494,-0.12361826747655869,-0.0179517213255167,-0.006135859992355108,0.06728216260671616,-0.03767155483365059,0.018918437883257866,0.07900509983301163,-0.12123996019363403,-0.061939630657434464,-0.013766255229711533,0.0007074413006193936,-0.014986724592745304,0.08737405389547348,-0.030124375596642494,0.05183006823062897,0.053884994238615036,-0.002881733002141118,0.049361374229192734,0.010629422031342983,0.030195696279406548,-0.015148229897022247,-0.07744422554969788,-0.04606268182396889,0.03399272635579109,-0.009703506715595722,-0.04522602632641792,0.003162648528814316,0.0002944519219454378,0.060575615614652634,-0.030677350237965584,0.005190007854253054,0.014338268898427486,0.007923324592411518,0.0170337725430727,-0.030032426118850708,0.12530602514743805,0.15320873260498047,-0.07669579237699509,-0.12212202697992325,-0.0038185648154467344,-0.0500299334526062,0.0030325299594551325,0.027503088116645813,0.018809298053383827,-0.06373763084411621,-0.03408759459853172,-0.005756659898906946,-0.038675036281347275,0.019372688606381416,-0.006260311231017113,0.08266108483076096,0.01824529469013214,0.004888443276286125,-0.06759374588727951,0.022421108558773994,0.020162813365459442,-0.00042676119483076036,0.00943827349692583,0.02592495270073414,-0.025294413790106773,-0.041411761194467545,0.0051991697400808334,0.013797775842249393,-0.08349188417196274,0.0507933609187603,-0.01438511535525322,0.0204011183232069,0.0398186631500721,-0.012811710126698017,-0.05341307818889618,-0.10921705514192581,-0.011003064922988415,-0.020269395783543587,-0.028908953070640564,0.025216110050678253,0.02065957337617874,0.00775905093178153,-0.013548176735639572,-0.02214139699935913,-0.013357498683035374,-0.06020577624440193,-0.0020687386859208345,-0.015274125151336193,0.04885499179363251,0.009067852981388569,0.008066900074481964,-0.06342456489801407,-0.020844191312789917,-0.06957761198282242,0.09939692169427872,0.017483757808804512,0.05990244820713997,-0.014696537517011166,0.0053809210658073425,-0.002162032062187791,0.036012280732393265,-0.03436870500445366,-7.151936733862385e-05,-0.0030488858465105295
3,"['fa', 'caldo', 'custom_area']",HassClimateGetTemperature,0.2366369217634201,-0.1816149204969406,-0.19945450127124786,-0.029917417094111443,-0.23472099006175995,0.009510046802461147,-0.047534625977277756,0.16883373260498047,-0.10152413696050644,-0.07102791965007782,0.10601340979337692,-0.17227451503276825,-0.07833684235811234,0.1413477212190628,0.006220940500497818,0.16606037318706512,0.15897656977176666,-0.15589874982833862,0.1539948582649231,0.05648316815495491,-0.06118311360478401,0.1557200700044632,-0.13979676365852356,-0.033717188984155655,-0.07401903718709946,-0.07333385199308395,0.11098750680685043,0.009291977621614933,0.07375368475914001,0.1410035789012909,-0.00028316248790360987,-0.009742899797856808,-0.1428801566362381,0.04974852874875069,0.06616398692131042,-0.014690245501697063,0.07357742637395859,0.11227685213088989,-0.13077542185783386,-0.08469223976135254,0.022013278678059578,-0.00842336192727089,0.09892993420362473,0.12096121907234192,0.04759897664189339,0.0771658793091774,-0.050722841173410416,0.10783927887678146,-0.11504656076431274,0.07619470357894897,0.07379408925771713,0.04656967893242836,-0.013960912823677063,0.07658132165670395,-0.10055750608444214,-0.033403024077415466,0.03646316006779671,-0.08292572945356369,-0.048575449734926224,0.0029737527947872877,0.09503643959760666,0.008431757800281048,-0.025608422234654427,0.0361563004553318,0.026352783665060997,-0.006387709174305201,0.10475942492485046,-0.019801286980509758,-0.022153062745928764,-0.05706231668591499,-0.0438491590321064,-0.062460701912641525,-7.006525993347168e-05,-0.01236966997385025,0.1174592450261116,-0.1104554608464241,-0.013453933410346508,0.05053086206316948,-0.018830787390470505,0.0189497210085392,0.06649657338857651,0.02399645745754242,0.08211386948823929,0.018942391499876976,0.15761041641235352,0.06741726398468018,0.010108011774718761,-0.11553952097892761,-0.028684383258223534,-0.020779533311724663,0.09521228075027466,0.020484453067183495,0.01671615056693554,-0.12409934401512146,0.03920982405543327,0.056598007678985596,-0.0002711812558118254,-0.009954387322068214,-0.07520819455385208,0.1378079205751419
4,"['dimmi', ""'"", 'caldo', 'custom_area']",HassClimateGetTemperature,0.029205653816461563,-0.029488030821084976,-0.006884791888296604,0.022856658324599266,-0.06815866380929947,0.022184643894433975,-0.017045477405190468,0.07808615267276764,-0.07425649464130402,-0.055938880890607834,0.0352669283747673,-0.05282441899180412,-0.011011521331965923,0.0457783117890358,-0.02341381087899208,0.09773600101470947,0.015975452959537506,-0.05844055116176605,0.03866929933428764,0.006200270727276802,-0.009085243567824364,0.002521308371797204,-0.016102924942970276,-0.0340518094599247,-0.017605548724532127,-0.05634261667728424,-0.00444329297170043,0.02419475093483925,0.03174024447798729,0.011937507428228855,-0.04525364562869072,0.04593059420585632,-0.04134765639901161,0.0009420145070180297,0.0007929792627692223,0.0029912502504885197,0.0849137157201767,0.13534769415855408,-0.10710009187459946,-0.060751043260097504,-0.017287427559494972,-0.025183919817209244,0.031202884390950203,0.0022953199222683907,0.0013321060687303543,-0.045696109533309937,-0.033346764743328094,0.031100407242774963,0.02062540501356125,0.020792603492736816,-0.004109294153749943,0.04009336233139038,0.009594008326530457,0.04477647691965103,-0.03132252395153046,0.007760878652334213,-0.01506752334535122,-0.05117804929614067,-0.027000173926353455,-0.01317362766712904,0.0018509291112422943,-0.044235892593860626,-0.011184627190232277,0.037614088505506516,-0.02899790368974209,0.029365692287683487,-0.006108718924224377,0.04430181533098221,0.004164992831647396,-0.04480912536382675,-0.027696004137396812,-0.01154128834605217,0.014714248478412628,-0.020021220669150352,0.0168854258954525,-0.025980038568377495,-0.05559907853603363,-0.03383108973503113,-0.0230685044080019,0.013090458698570728,0.04261152818799019,0.018319062888622284,-0.011394783854484558,0.004752971697598696,-0.012871564365923405,-0.018707558512687683,0.010640095919370651,-0.03703676536679268,0.020238153636455536,0.010656259022653103,0.046589430421590805,0.03306395933032036,0.015760937705636024,-0.004382026381790638,0.08278758078813553,-0.008853661827743053,0.012474103830754757,-0.01571337878704071,0.04788258299231529,-0.03985730931162834
5,"['puoi', 'dirmi', 'freddo', ""'"", 'custom_area']",HassClimateGetTemperature,0.08001753687858582,-0.05253858119249344,-0.05066036060452461,0.04777313023805618,-0.07634826004505157,0.0447428897023201,-0.005632015876471996,0.06332690268754959,-0.057871244847774506,-0.07202226668596268,-0.0039727697148919106,-0.030062993988394737,0.0003960341273341328,0.026364078745245934,0.024231504648923874,0.07639975845813751,-0.023452112451195717,-0.046370331197977066,0.09049855917692184,-0.007362433709204197,0.017769578844308853,0.03904516622424126,-0.03776036202907562,0.0023543681018054485,0.0019348036730661988,-0.04843180999159813,-0.009037027135491371,-0.011026648804545403,0.015312639996409416,0.025186512619256973,-0.005993512459099293,0.051772844046354294,-0.039871830493211746,-0.018819916993379593,-0.017658133059740067,0.0003842886653728783,0.07614476978778839,0.1795760989189148,-0.16571283340454102,-0.09827505797147751,-0.029787007719278336,-0.00555479247123003,-0.0065911561250686646,-0.0184570774435997,-0.018065910786390305,-0.0850435420870781,-0.019652854651212692,-0.008893122896552086,-0.023366760462522507,0.015852447599172592,0.0007697436958551407,0.030013585463166237,-0.011222091503441334,0.026198435574769974,-0.04207698628306389,0.0012918384745717049,0.004331772215664387,0.0012680043000727892,0.011200927197933197,-0.006467429455369711,0.008152628317475319,-0.06322677433490753,0.02979450300335884,0.05555242300033569,-0.06231410428881645,0.052232593297958374,0.0016771623631939292,0.009378211572766304,-0.019064772874116898,-0.04731493443250656,-0.010815517976880074,0.015073640272021294,0.036660335958004,-0.01693585142493248,0.016023745760321617,-0.0214091707020998,-0.014826251193881035,0.002440493553876877,0.0006379348924383521,0.012865652330219746,0.028223630040884018,-0.0018413144862279296,-0.01580851338803768,0.008711131289601326,0.017756396904587746,-0.0368969589471817,-0.04237431660294533,-0.028410013765096664,-0.01143219880759716,0.006687411572784185,0.03051765263080597,0.013133035972714424,-0.005725237540900707,0.021016674116253853,0.10336427390575409,0.004190568812191486,0.024654895067214966,0.031593091785907745,0.007753628306090832,-0.034618448466062546
6,"['gradi', 'centigradi', 'custom_area']",HassClimateGetTemperature,0.05224977806210518,-0.10190490633249283,-0.00409496808424592,-0.02070341818034649,0.04188479110598564,-0.01576278917491436,0.031405214220285416,0.0535399466753006,-0.09001970291137695,-0.052102770656347275,-0.019951803609728813,0.01202061865478754,-0.017372187227010727,0.06555596739053726,-0.04096822440624237,0.036297351121902466,0.07018785178661346,-0.021444737911224365,0.03392258286476135,-0.023921974003314972,0.010796706192195415,-0.004216013941913843,-0.07130670547485352,-0.03925728425383568,0.03426239266991615,-0.038616206496953964,-0.020886579528450966,-0.0070717171765863895,0.004466388374567032,0.05046782270073891,-0.026819510385394096,0.00631167134270072,0.0004985667765140533,0.02237643301486969,0.01717331074178219,-0.013033798895776272,0.13681703805923462,0.14090554416179657,-0.07408048957586288,-0.1413489729166031,-0.02329600602388382,-0.06220130994915962,0.001963716233149171,0.04120051488280296,0.026538250967860222,-0.05994260311126709,-0.020638180896639824,0.00030077373958192766,-0.03243042901158333,0.01805373653769493,-0.009658616036176682,0.07934394478797913,0.015285368077456951,-0.016911489889025688,-0.06609880179166794,0.016423087567090988,0.011369798332452774,0.03100235015153885,-0.001071223639883101,0.024463007226586342,-0.01455292571336031,-0.038598235696554184,0.009413597173988819,-2.0322700947872363e-05,-0.10593853145837784,0.03168163821101189,-0.022564226761460304,0.014934670180082321,0.04003937914967537,-0.02053377404808998,-0.044084712862968445,-0.09520825743675232,0.001176490099169314,-0.018882179632782936,0.00016087479889392853,0.010707051493227482,0.01409699022769928,0.02092812955379486,0.00883337203413248,-0.022678017616271973,-0.006966772023588419,-0.05921797826886177,0.0009571232949383557,-0.027950922027230263,0.05775846168398857,-0.014975548721849918,0.029227836057543755,-0.04847428575158119,-0.01875263825058937,-0.0855373740196228,0.09593027830123901,0.03294740989804268,0.05783917382359505,-0.0024676776956766844,0.005199410021305084,-0.005707137286663055,0.03414979949593544,-0.02976907603442669,0.01865008845925331,0.003383602946996689
7,"['dimmi', 'freddo', 'fa', 'custom_area']",HassClimateGetTemperature,0.17016074061393738,-0.16069290041923523,-0.14849591255187988,-0.003966035321354866,-0.2192351073026657,-0.0069412654265761375,-0.04372859001159668,0.1126747578382492,-0.1209973394870758,-0.08214270323514938,0.0860285609960556,-0.1659591943025589,-0.06821759790182114,0.07423511892557144,-0.03142465278506279,0.202821746468544,0.09270505607128143,-0.15929406881332397,0.14480096101760864,0.01823410578072071,-0.06091351807117462,0.1305631697177887,-0.09849575161933899,0.0019505699165165424,-0.0749782919883728,-0.056113287806510925,0.07713411003351212,0.0008742380887269974,0.08011270314455032,0.14050935208797455,-0.018258901312947273,0.01664791814982891,-0.09139924496412277,0.030296605080366135,0.032218530774116516,0.0029068258590996265,0.037237994372844696,0.145248681306839,-0.13472086191177368,-0.04560577869415283,0.006166800390928984,-0.008614450693130493,0.0820995420217514,0.05958746373653412,0.024657832458615303,0.0923246517777443,-0.050613995641469955,0.07106712460517883,-0.059013351798057556,0.06515692174434662,0.06399352848529816,0.05539199337363243,-0.031086549162864685,0.06633177399635315,-0.07659152895212173,-0.04458584636449814,0.004838995635509491,-0.08809556812047958,-0.04145649075508118,-0.012548285536468029,0.07617402076721191,0.006842534989118576,-0.03047124482691288,0.02833656035363674,0.008927561342716217,-0.028086703270673752,0.10038161277770996,0.019655756652355194,-0.012716615572571754,-0.06178005039691925,-0.044680193066596985,-0.042651720345020294,0.020964497700333595,-0.020873291417956352,0.08840938657522202,-0.07708892226219177,-0.0394766703248024,0.0068579064682126045,-0.03800215944647789,-0.022814195603132248,0.07157731801271439,0.04542676359415054,0.02550923079252243,0.007464628200978041,0.09369681775569916,0.010813119821250439,-0.02269177883863449,-0.09007535874843597,-0.03454851731657982,-0.01839381270110607,0.0754738301038742,0.06960464268922806,0.01858329586684704,-0.08956575393676758,0.07809799164533615,0.030961306765675545,0.014316520653665066,-0.02381722442805767,-0.034591663628816605,0.06823064386844635
8,"['dimmi', 'caldo', ""'"", 'custom_area']",HassClimateGetTemperature,0.029205653816461563,-0.029488028958439827,-0.0068847923539578915,0.022856654599308968,-0.06815866380929947,0.022184643894433975,-0.01704547554254532,0.07808616012334824,-0.07425649464130402,-0.055938880890607834,0.0352669283747673,-0.05282441899180412,-0.011011521331965923,0.0457783117890358,-0.02341381087899208,0.09773600101470947,0.015975452959537506,-0.05844055116176605,0.03866930305957794,0.006200271658599377,-0.009085243567824364,0.0025213088374584913,-0.016102924942970276,-0.0340518057346344,-0.017605548724532127,-0.05634261295199394,-0.00444329297170043,0.02419475093483925,0.03174024820327759,0.01193750649690628,-0.04525364562869072,0.045930590480566025,-0.04134765639901161,0.0009420146234333515,0.000792978797107935,0.0029912502504885197,0.0849137157201767,0.13534769415855408,-0.10710009187459946,-0.060751039534807205,-0.017287427559494972,-0.025183919817209244,0.031202884390950203,0.0022953208535909653,0.0013321060687303543,-0.045696109533309937,-0.033346764743328094,0.031100407242774963,0.02062540501356125,0.020792603492736816,-0.004109294153749943,0.04009336233139038,0.009594008326530457,0.04477647319436073,-0.03132252395153046,0.007760878652334213,-0.01506752334535122,-0.05117804557085037,-0.027000173926353455,-0.013173629529774189,0.0018509291112422943,-0.044235892593860626,-0.011184627190232277,0.037614088505506516,-0.02899790368974209,0.029365692287683487,-0.006108718924224377,0.04430181533098221,0.004164992831647396,-0.04480912536382675,-0.02769600600004196,-0.01154128834605217,0.014714248478412628,-0.020021218806505203,0.0168854258954525,-0.025980038568377495,-0.05559907853603363,-0.03383108973503113,-0.0230685044080019,0.013090458698570728,0.04261152818799019,0.018319061025977135,-0.011394783854484558,0.004752971697598696,-0.012871564365923405,-0.018707558512687683,0.010640095919370651,-0.03703676536679268,0.020238153636455536,0.010656259022653103,0.046589430421590805,0.03306395560503006,0.015760937705636024,-0.004382026381790638,0.08278758078813553,-0.008853661827743053,0.012474103830754757,-0.01571337878704071,0.04788258299231529,-0.03985730931162834
9,"['dimmi', 'quant', ""'"", 'temperatura', 'custom_area']",HassClimateGetTemperature,0.02472292259335518,-0.06016366556286812,-0.008276661857962608,0.010390515439212322,-0.050725460052490234,0.022394832223653793,-0.006453213281929493,0.03218551352620125,-0.08146928250789642,-0.041298460215330124,-0.006495694629848003,-0.052044887095689774,-0.012701818719506264,0.029810260981321335,0.0014142669970169663,0.10128363221883774,0.0011483512353152037,-0.04428104683756828,0.03596815466880798,-0.016291970387101173,-0.007021643221378326,0.001955944113433361,-0.02113458327949047,0.005163493566215038,-0.01903855800628662,-0.030093446373939514,0.00019225291907787323,0.007402594201266766,0.03280021622776985,0.03961213678121567,-0.02482001855969429,0.03934451565146446,-0.005839178804308176,-0.012378964573144913,-0.008742179721593857,0.00516356248408556,0.07790042459964752,0.15122626721858978,-0.09332197904586792,-0.044436968863010406,-0.010773489251732826,-0.019816774874925613,0.0027855378575623035,-0.01853465661406517,-0.012113528326153755,-0.047725748270750046,-0.013296656310558319,0.03434943035244942,0.014830674044787884,0.029142966493964195,0.006798543035984039,0.02847420796751976,0.01029154472053051,-0.011847959831357002,-0.02944762073457241,-0.0019039170583710074,-0.024696258828043938,-0.03234335407614708,-0.025331448763608932,-0.01834191381931305,-0.00469647441059351,-0.055970869958400726,0.011982153169810772,0.009964746423065662,-0.022555237635970116,0.0018456466495990753,-0.0041054049506783485,0.018925806507468224,0.016821186989545822,-0.022452974691987038,-0.019552629441022873,-0.017645396292209625,0.024710219353437424,-0.018562624230980873,0.024158313870429993,-0.008338088169693947,-0.04975932091474533,-0.0333685465157032,-0.014647787436842918,0.01355141680687666,0.049537595361471176,0.022858744487166405,-0.007868397049605846,0.014137119054794312,-0.02764713205397129,-0.029401052743196487,0.01265109796077013,-0.034490227699279785,-0.009034629911184311,0.00915629230439663,0.05416209623217583,0.06136860325932503,0.008156398311257362,0.009655104950070381,0.06640511751174927,-0.009714548476040363,-0.002285170601680875,-0.03376714140176773,0.045110952109098434,-0.014459344558417797
