,Text,Response,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62,v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_71,v_72,v_73,v_74,v_75,v_76,v_77,v_78,v_79,v_80,v_81,v_82,v_83,v_84,v_85,v_86,v_87,v_88,v_89,v_90,v_91,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99
0,"['tutti', 'i', 'climatizzatori', 'sono', 'spenti']",all,0.22420398890972137,-0.23315735161304474,-0.028223078697919846,0.05112297087907791,-0.03618539124727249,-0.08809098601341248,0.34013471007347107,-0.1259099543094635,-0.10482431948184967,-0.060996223241090775,-0.036354534327983856,-0.13365750014781952,0.00836978480219841,0.10354460775852203,-0.12716186046600342,0.001906095421873033,0.10321994870901108,-0.1850004941225052,0.056607436388731,-0.11589288711547852,-0.005257181823253632,0.05010627582669258,-0.17398317158222198,-0.030291255563497543,-0.07871317863464355,-0.12163913249969482,-0.012995886616408825,-0.06642818450927734,0.15168729424476624,0.053423844277858734,-0.026586264371871948,0.011584319174289703,-0.07267796248197556,-0.01569542847573757,-0.015140200033783913,0.044050686061382294,0.03278779983520508,0.19805267453193665,-0.19471479952335358,-0.06865377724170685,-0.15433062613010406,-0.0712474137544632,0.009423462674021721,0.052927471697330475,-0.0313614085316658,0.13318975269794464,0.044342827051877975,0.07224442064762115,-0.08327795565128326,-0.001395904691889882,0.07916948199272156,-0.005313198082149029,-0.06551717966794968,0.06238635629415512,-0.006762403063476086,-0.004490317311137915,0.016330046579241753,0.03923461213707924,-0.06551674753427505,0.017718560993671417,0.03494942933320999,-0.03816956654191017,0.024252867326140404,0.043960995972156525,-0.08949333429336548,-0.019467715173959732,-0.009021267294883728,0.04101105406880379,0.024695981293916702,-0.03702758997678757,0.009271521121263504,-0.017534198239445686,-0.020493263378739357,-0.0053019532933831215,-0.01379789412021637,0.07387366145849228,0.02526249922811985,0.11058817058801651,0.042286019772291183,0.002720420015975833,0.08202328532934189,-0.0030631311237812042,-0.0010055575985461473,-0.10702817142009735,-0.05067523568868637,0.06463687121868134,0.023807208985090256,-0.01680297590792179,-0.034115225076675415,-0.003359972732141614,-0.01072092354297638,-0.013812676072120667,-0.001501011662185192,-0.11714281141757965,0.0654282495379448,0.06660867482423782,-0.029934298247098923,0.0026185892056673765,0.021611830219626427,0.019326500594615936
1,"['dimmi', 'se', 'tutti', 'i', 'ventilatori', 'nella', 'custom_area', 'sono', 'spenti']",all,0.2095533311367035,-0.22439411282539368,-0.07528191059827805,0.04746334254741669,-0.09416645020246506,-0.08656121045351028,0.1945069432258606,-0.06767618656158447,-0.09262887388467789,-0.04764626920223236,-0.02601628750562668,-0.1350070834159851,-0.03435173258185387,0.07364016771316528,-0.08415871858596802,0.11557800322771072,0.05309133976697922,-0.1866941750049591,0.07895317673683167,-0.09926006197929382,0.006681704893708229,0.04278220236301422,-0.10610667616128922,-0.011767582967877388,-0.08283919095993042,-0.11602398753166199,0.01738611049950123,-0.050601355731487274,0.12692685425281525,0.08700825273990631,-0.023037858307361603,0.03152482211589813,-0.04412488266825676,-0.004537313245236874,-0.015067275613546371,0.03729229420423508,0.03888925537467003,0.19764256477355957,-0.1778690665960312,-0.061919886618852615,-0.08886989206075668,-0.04069288820028305,0.027798078954219818,0.041432976722717285,-0.027608564123511314,0.14270354807376862,0.03385021910071373,0.05389565974473953,-0.038179971277713776,0.023427678272128105,0.05185254290699959,0.005568142514675856,-0.07567549496889114,0.03809267282485962,-0.026659606024622917,-0.02374310791492462,0.02133059874176979,-0.017919709905982018,-0.06599083542823792,0.0024110504891723394,0.04628296196460724,-0.021264560520648956,0.00888578686863184,0.01974055916070938,-0.08331888914108276,-0.03877231478691101,0.013860882259905338,0.005893277004361153,0.025560375303030014,-0.05145253241062164,-0.011658545583486557,-0.011918104253709316,0.02607244998216629,-0.0075981225818395615,0.017509745433926582,0.021301347762346268,-0.013305684551596642,0.0708603486418724,0.010302308946847916,0.04018176347017288,0.06898733228445053,0.04413994401693344,-0.01988992653787136,-0.11813800781965256,-0.04420163109898567,0.003790522227063775,-0.0025951829738914967,-0.025660376995801926,-0.021691124886274338,0.0032534359488636255,0.015378721989691257,0.003399322275072336,-0.0012214075541123748,-0.06492847204208374,0.08952124416828156,0.05268440023064613,-0.033085182309150696,0.005330353043973446,0.009199796244502068,-0.01432826928794384
2,"['tutti', 'i', 'condizionatori', 'della', 'custom_area', 'sono', 'spenti']",all,0.1911875456571579,-0.16368916630744934,-0.02703060768544674,0.024008100852370262,-0.004599413368850946,-0.045896418392658234,0.24080464243888855,-0.0821390375494957,-0.09146952629089355,-0.02821025438606739,-0.021989617496728897,-0.0887175053358078,0.013048799708485603,0.08640892058610916,-0.09583275020122528,0.03701578453183174,0.10113508999347687,-0.15221600234508514,0.031835515052080154,-0.07890131324529648,0.009705580770969391,0.028807520866394043,-0.13955852389335632,-0.02337833307683468,-0.05506082624197006,-0.09183292835950851,-0.017701249569654465,-0.044036924839019775,0.12290238589048386,0.06036599352955818,-0.014023828320205212,0.004936567507684231,-0.06000959500670433,-0.009849326685070992,-0.015136982314288616,0.03953103348612785,0.07552514970302582,0.19654442369937897,-0.17575576901435852,-0.06938965618610382,-0.1186240091919899,-0.0657338947057724,0.01687753200531006,0.05349734053015709,-0.015290518291294575,0.06841939687728882,0.0409572534263134,0.07078712433576584,-0.06318019330501556,0.0027706518303602934,0.050993647426366806,-0.0010659005492925644,-0.041655439883470535,0.04220504313707352,-0.003651691135019064,-0.003997656051069498,0.016289539635181427,0.010261510498821735,-0.04221891239285469,0.022328538820147514,0.014658577740192413,-0.031133299693465233,0.023009268566966057,0.03991977125406265,-0.08660966157913208,-0.007746681571006775,-0.008937612175941467,0.011339083313941956,0.01890801452100277,-0.020535549148917198,0.000681172008626163,0.0005445583956316113,-0.012287376448512077,-0.008871747180819511,-0.017995242029428482,0.05741703510284424,0.024559395387768745,0.0783533975481987,0.02156510017812252,0.0331067256629467,0.05741509422659874,-0.011512352153658867,0.021849310025572777,-0.07627586275339127,-0.028319554403424263,0.04122640937566757,0.017684411257505417,-0.01923546753823757,-0.026215743273496628,-0.007350916974246502,-0.0032626858446747065,0.0022135362960398197,0.00015510738012380898,-0.07689123600721359,0.046038009226322174,0.05943801626563072,-0.004901721142232418,0.005938290618360043,0.012190037406980991,-0.0023865862749516964
3,"['tutte', 'le', 'serrande', 'sono', 'chiuse']",all,0.25018590688705444,-0.2363039255142212,0.012261226773262024,0.027795914560556412,-0.02169337496161461,-0.13176584243774414,0.35573217272758484,-0.0871940329670906,-0.07022492587566376,0.05723565071821213,-0.08663337677717209,-0.0036453683860599995,-0.05188582465052605,0.06889437884092331,0.10035252571105957,0.2581709325313568,0.1308949738740921,-0.07624686509370804,-0.0406009815633297,0.016282308846712112,0.056614480912685394,0.15965886414051056,0.03989533707499504,0.0060232849791646,0.050988368690013885,-0.17810223996639252,0.16169601678848267,0.006670583039522171,-0.04546687379479408,0.019159965217113495,0.059079550206661224,0.10295210033655167,-0.051831960678100586,0.0854581817984581,0.06842277199029922,0.07580520212650299,0.05327785015106201,0.1894073784351349,-0.2510454058647156,-0.08997410535812378,0.05056288093328476,-0.006058713886886835,0.06581955403089523,0.12374961376190186,-0.1869589388370514,0.016365768387913704,0.01729530654847622,0.03216741234064102,0.003926600329577923,-0.0025338814593851566,0.07706952840089798,-0.021182425320148468,-0.07191067934036255,0.08813570439815521,0.017861761152744293,-0.001496852026320994,0.10759558528661728,-0.09916320443153381,-0.033224839717149734,0.03242072835564613,-0.0017916951328516006,-0.0035507469438016415,0.034735098481178284,0.013269598595798016,-0.09549690783023834,-0.015151450410485268,0.032870106399059296,-0.02129688300192356,-0.05996633321046829,-0.00800301507115364,0.004526697099208832,0.032377682626247406,-0.01254803966730833,-0.03997643664479256,-0.01901479810476303,0.05261089652776718,0.038640063256025314,0.05305033177137375,0.01270307321101427,0.0452776663005352,0.038348812609910965,0.028626929968595505,-0.02737843059003353,-0.09437640756368637,-0.0802367702126503,-0.013532047159969807,-0.036269426345825195,-0.030956853181123734,-0.05971880629658699,-0.014645067974925041,-0.014196458272635937,-0.08112334460020065,-0.012751167640089989,-0.071194127202034,0.13367211818695068,0.04165565222501755,-0.11065135151147842,0.07036631554365158,0.013417464680969715,0.02899823524057865
4,"['dimmi', 'se', 'tutte', 'le', 'tapparelle', 'del', 'custom_area', 'sono', 'aperte']",all,0.23762157559394836,-0.23588784039020538,-0.06987283378839493,0.0024909076746553183,-0.0817277655005455,-0.08442290127277374,0.17780785262584686,-0.04896313697099686,-0.10385298728942871,0.026378246024250984,-0.04630028083920479,-0.08150464296340942,-0.05831719934940338,0.06409959495067596,0.02713681198656559,0.227375328540802,0.07819150388240814,-0.13792753219604492,0.04530690237879753,-0.005609269719570875,0.04233366996049881,0.11137279868125916,0.02885400503873825,0.002479477087035775,-0.0017937769880518317,-0.18594494462013245,0.1459050476551056,0.011612456291913986,0.018503181636333466,0.06517685204744339,0.029696859419345856,0.07448989897966385,-0.04427759349346161,0.06613165140151978,0.0510680191218853,0.061771459877491,0.06899818032979965,0.20844262838363647,-0.22353363037109375,-0.09034125506877899,0.02217217907309532,-0.007534670177847147,0.0697808563709259,0.06830685585737228,-0.07853244245052338,0.06060643494129181,0.02670770324766636,0.03174711763858795,0.006891246885061264,0.019017769023776054,0.06588515639305115,0.00881064124405384,-0.07647117227315903,0.06708922237157822,-0.002153423149138689,-0.0003753087075892836,0.07160472124814987,-0.09756642580032349,-0.048776060342788696,-0.019570235162973404,0.016372360289096832,0.0018773931078612804,0.008551246486604214,0.03119705431163311,-0.06832892447710037,-0.04275311902165413,0.05042214319109917,-0.016420850530266762,-0.027925245463848114,-0.0453002005815506,-0.00010954422759823501,0.015029268339276314,0.035567983984947205,-0.039530981332063675,0.009157003834843636,0.004968514200299978,0.00017384688544552773,0.047347113490104675,-0.006452764850109816,0.08139524608850479,0.032750993967056274,0.04073270410299301,-0.010684456676244736,-0.09566374123096466,-0.07338442653417587,-0.02706853486597538,-0.034940455108881,-0.04344895854592323,-0.035495929419994354,-0.009525924921035767,0.01946769654750824,-0.026623912155628204,-0.011192265897989273,-0.043641097843647,0.12875205278396606,0.050270743668079376,-0.06882745027542114,0.05681540071964264,0.0022317369002848864,-0.029041707515716553
5,"['dimmi', 'se', 'tutte', 'le', 'luci', 'sono', 'accese']",all,0.2731323540210724,-0.27747613191604614,-0.05594601482152939,0.075199194252491,-0.11747587472200394,-0.12667717039585114,0.27908018231391907,-0.04958062246441841,-0.12188779562711716,0.03177328035235405,-0.07589548081159592,-0.08760925382375717,-0.10237608104944229,0.06768812984228134,0.05906709283590317,0.29337432980537415,0.07799743115901947,-0.12864139676094055,0.021522914990782738,-0.038156695663928986,0.039993930608034134,0.18059447407722473,0.038065630942583084,0.018648434430360794,0.017034349963068962,-0.21648378670215607,0.16900961101055145,-0.00041314135887660086,0.02499227598309517,0.06846614927053452,-0.0017620676662772894,0.10155116021633148,-0.039297785609960556,0.04266083613038063,0.06324474513530731,0.0760110542178154,0.04805662855505943,0.21389147639274597,-0.25384631752967834,-0.09203780442476273,0.05125821381807327,7.21407777746208e-05,0.07255934923887253,0.07974835485219955,-0.15403996407985687,0.09152334928512573,0.03252733498811722,0.04377177357673645,0.004770164377987385,0.045523762702941895,0.08959401398897171,0.018768221139907837,-0.054409902542829514,0.048256274312734604,0.0016555822221562266,-0.0029404398519545794,0.09363450109958649,-0.1259472817182541,-0.06154835969209671,0.004144639708101749,0.031020963564515114,0.011158407665789127,0.038315508514642715,-0.004871784709393978,-0.0934302806854248,-0.03079431690275669,0.07701551169157028,-0.002555850427597761,-0.023513691499829292,-0.058919757604599,0.006353417877107859,-0.004057473968714476,0.016891948878765106,-0.02304188907146454,0.0009316889918409288,0.002190810162574053,-0.03246201202273369,0.07373172789812088,-0.0001223619474330917,0.036526165902614594,0.0403023287653923,0.07557535916566849,-0.04348685219883919,-0.1227412074804306,-0.0970001369714737,-0.041014935821294785,-0.031942132860422134,-0.05083465576171875,-0.056183334439992905,0.02479630336165428,0.04002975672483444,-0.06043165549635887,-0.005668281577527523,-0.06106248125433922,0.1600503921508789,0.04558596760034561,-0.12354326248168945,0.0605698898434639,0.0019523979863151908,-0.00317109446041286
6,"['dimmi', 'se', 'tutte', 'le', 'finestre', 'sono', 'aperte', 'nello', 'custom_area']",all,0.23103682696819305,-0.22407251596450806,-0.06316821277141571,0.03684515506029129,-0.08080431073904037,-0.09432445466518402,0.19343659281730652,-0.052370861172676086,-0.08822145313024521,0.022487787529826164,-0.05640323460102081,-0.07657480239868164,-0.07156287133693695,0.05428255349397659,0.044487256556749344,0.2198314517736435,0.05234865844249725,-0.12367331981658936,0.0530540756881237,-0.030775226652622223,0.04289638623595238,0.10871312022209167,0.029832694679498672,0.001680443063378334,0.0028165257535874844,-0.1679130643606186,0.1383334994316101,-0.003115015337243676,0.0276970062404871,0.06426867842674255,0.028431035578250885,0.07970364391803741,-0.03551112115383148,0.061418525874614716,0.03314071148633957,0.04711060971021652,0.05665556713938713,0.1810196042060852,-0.22010448575019836,-0.07928093522787094,0.04144451767206192,-0.01850380189716816,0.05704513564705849,0.07075533270835876,-0.1001076027750969,0.07147620618343353,0.014347312971949577,0.02788417600095272,0.011006671003997326,0.013228978961706161,0.058863863348960876,0.005055464804172516,-0.07390061020851135,0.04268543794751167,-0.017349647358059883,-0.01571783237159252,0.07124415785074234,-0.08773420751094818,-0.048591144382953644,-0.0030772117897868156,0.02899917960166931,-0.014905356802046299,0.010657012462615967,0.015730328857898712,-0.0758216455578804,-0.04001683369278908,0.056095488369464874,-0.02097911387681961,-0.018775848671793938,-0.04583025723695755,-0.01130747515708208,0.0015054470859467983,0.04271845519542694,-0.02375573106110096,0.024333039298653603,-0.0015689011197537184,-0.0047807940281927586,0.039121437817811966,-0.004409001208841801,0.0647769644856453,0.042762354016304016,0.04820952191948891,-0.042213764041662216,-0.10672291368246078,-0.06890871375799179,-0.03561997786164284,-0.031564511358737946,-0.03223438560962677,-0.03349249064922333,-0.010917270556092262,0.022229518741369247,-0.03611939027905464,0.0048436266370117664,-0.025751706212759018,0.12381597608327866,0.03941434621810913,-0.09033294022083282,0.04196784272789955,0.007993500679731369,-0.013674871996045113
7,"['dimmi', 'se', 'tutte', 'le', 'tapparelle', 'sono', 'chiuse', 'nello', 'custom_area']",all,0.21629014611244202,-0.22213804721832275,-0.06465263664722443,0.03284256160259247,-0.08870112150907516,-0.10653139650821686,0.18740314245224,-0.050892531871795654,-0.0755811482667923,0.014118386432528496,-0.0569491982460022,-0.07236681133508682,-0.06793086975812912,0.05639836564660072,0.03918003290891647,0.22671379148960114,0.051207851618528366,-0.12944649159908295,0.04112466797232628,-0.02554459124803543,0.038571909070014954,0.11090728640556335,0.019540365785360336,0.009503827430307865,-0.0027005993761122227,-0.15328527987003326,0.11954902112483978,-0.003061792114749551,0.020778004080057144,0.057599231600761414,0.018704315647482872,0.08278660476207733,-0.03580460324883461,0.05757468193769455,0.03708617389202118,0.04327090457081795,0.05125470831990242,0.1807233989238739,-0.21640361845493317,-0.07124989479780197,0.03182461857795715,-0.008322540670633316,0.05472244322299957,0.0692649632692337,-0.10666978359222412,0.07726109772920609,0.01961674727499485,0.02483855001628399,0.009020848199725151,0.009395696222782135,0.05408969148993492,0.005217446014285088,-0.07175683975219727,0.048037588596343994,-0.01312294788658619,-0.013927747495472431,0.07046559453010559,-0.08769430965185165,-0.048570889979600906,-0.001242471276782453,0.03148158639669418,-0.009313567541539669,0.009200174361467361,0.010897151194512844,-0.07401803135871887,-0.04030248895287514,0.050983332097530365,-0.022557474672794342,-0.0235575120896101,-0.053493108600378036,-0.01525089330971241,0.009356444701552391,0.03784404695034027,-0.024228889495134354,0.01884292997419834,0.006478895433247089,0.0017422041855752468,0.032856810837984085,-0.00021745979029219598,0.06449374556541443,0.044040367007255554,0.0581975132226944,-0.04364827275276184,-0.11128626763820648,-0.06516595929861069,-0.03634277731180191,-0.02576528489589691,-0.037515152245759964,-0.03689655289053917,0.0016824984923005104,0.0250683706253767,-0.033771365880966187,-0.006267567630857229,-0.028967350721359253,0.12368801981210709,0.03847367316484451,-0.08544092625379562,0.040806062519550323,0.0029328647069633007,-0.015452018938958645
8,"['puoi', 'dirmi', 'se', 'tutte', 'le', 'porte', 'sono', 'aperte', 'nella', 'custom_area']",all,0.2435189038515091,-0.21000202000141144,-0.07113529741764069,0.031730834394693375,-0.07439707219600677,-0.059513188898563385,0.19529016315937042,-0.03670962154865265,-0.06763972342014313,0.007605517748743296,-0.049483522772789,-0.04819687455892563,-0.07634936273097992,0.052452452480793,0.06760694086551666,0.21685969829559326,0.03584657981991768,-0.11099652200937271,0.0656028538942337,-0.02331777848303318,0.0599270835518837,0.11223620176315308,0.008431106805801392,0.015196917578577995,0.01755397580564022,-0.15804553031921387,0.1202908605337143,-0.025518879294395447,0.024519970640540123,0.07475704699754715,0.04647219553589821,0.08623029291629791,-0.04369798302650452,0.042869918048381805,0.021770015358924866,0.04551347717642784,0.06732545793056488,0.21684956550598145,-0.24232277274131775,-0.10067516565322876,0.029412919655442238,-0.008414593525230885,0.045244134962558746,0.06199383735656738,-0.10970475524663925,0.02952757477760315,0.020949404686689377,0.0218035988509655,-0.013590900227427483,0.014613662846386433,0.054771728813648224,-6.8797824496869e-05,-0.08633468300104141,0.04991241171956062,-0.021393556147813797,-0.011582409963011742,0.07070695608854294,-0.06887650489807129,-0.02853829599916935,0.01376949530094862,0.026118511334061623,-0.01694714091718197,0.036966755986213684,0.013945521786808968,-0.10295461118221283,-0.011073214001953602,0.042265865951776505,-0.02641851268708706,-0.0167008675634861,-0.047094374895095825,-0.007213962264358997,0.02570519782602787,0.03388569504022598,-0.026460107415914536,0.02372162789106369,0.0004741110897157341,0.004797056782990694,0.05468268319964409,0.007933678105473518,0.06109175831079483,0.03615500405430794,0.038226183503866196,-0.023015696555376053,-0.08730430901050568,-0.05631188303232193,-0.04643528163433075,-0.05410364270210266,-0.03349846601486206,-0.0427093468606472,-0.013932572677731514,0.018481817096471786,-0.04482721909880638,-0.007212204392999411,-0.02179720625281334,0.1357799470424652,0.0481872521340847,-0.07844660431146622,0.06904638558626175,-0.00787768978625536,-0.013073934242129326
9,"['tutte', 'le', 'tapparelle', 'del', 'custom_area', 'sono', 'chiuse']",all,0.23288270831108093,-0.1703997552394867,-0.02344975806772709,-0.026274239644408226,0.02144850604236126,-0.06976909935474396,0.23038478195667267,-0.046289656311273575,-0.09021525084972382,0.06002190709114075,-0.0562991201877594,-0.027846554294228554,-0.021137762814760208,0.0701836422085762,0.03978380188345909,0.18858754634857178,0.13927602767944336,-0.0843810960650444,-0.006087180692702532,0.036797020584344864,0.04805126041173935,0.1257939636707306,0.029031427577137947,-0.013726030476391315,0.035136111080646515,-0.16130585968494415,0.1312265396118164,0.0272492878139019,-0.012478592805564404,0.026833759620785713,0.05490804463624954,0.07665099203586578,-0.05228584259748459,0.08123230189085007,0.07168992608785629,0.06028230860829353,0.11677247285842896,0.20792733132839203,-0.2363997995853424,-0.09586449712514877,0.013528848998248577,-0.018109198659658432,0.05967944860458374,0.09710428863763809,-0.09134130924940109,-0.018223902210593224,0.028292212635278702,0.04194512218236923,0.0018503732280805707,-0.008947125636041164,0.05655772238969803,-0.003029578598216176,-0.04393154755234718,0.07485304027795792,0.0211255494505167,0.01647537387907505,0.07677662372589111,-0.07873876392841339,-0.016797233372926712,-0.006129493471235037,-0.008723725564777851,-0.0100377993658185,0.01658065803349018,0.043801549822092056,-0.07986875623464584,-0.017997024580836296,0.02862699143588543,-0.02953282929956913,-0.05092030391097069,-0.017751768231391907,2.470293293299619e-05,0.04220428317785263,-0.007158393505960703,-0.04046725854277611,-0.023414239287376404,0.03626013547182083,0.041031062602996826,0.04733332619071007,0.0073488689959049225,0.07476867735385895,0.014986307360231876,-0.0036642190534621477,0.012623629532754421,-0.06872648745775223,-0.06380636245012283,0.0010387046495452523,-0.013178979977965355,-0.03745534271001816,-0.04619972035288811,-0.017774539068341255,-0.0024915742687880993,-0.034147270023822784,-0.016442591324448586,-0.03767520189285278,0.10508913546800613,0.05919090658426285,-0.059110622853040695,0.06120328977704048,0.004400868900120258,-0.015550373122096062
