,Text,Intent,Domain,Name,Area,DeviceClass,Response,State
0,puoi cambiare la temperatura della custom_area in venticinque gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
1,puoi cambiare la temperatura della custom_area in venticinque gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
2,puoi cambiare la temperatura della custom_area in venticinque gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
3,puoi cambiare la temperatura della custom_area in ventiquattro gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
4,puoi cambiare la temperatura della custom_area in ventiquattro gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
5,puoi cambiare la temperatura della custom_area in ventiquattro gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
6,puoi cambiare la temperatura della custom_area in ventitre gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
7,puoi cambiare la temperatura della custom_area in ventitre gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
8,puoi cambiare la temperatura della custom_area in ventitre gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
9,puoi cambiare la temperatura della custom_area in ventidue gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
10,puoi cambiare la temperatura della custom_area in ventidue gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
11,puoi cambiare la temperatura della custom_area in ventidue gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
12,puoi cambiare la temperatura della custom_area in ventuno gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
13,puoi cambiare la temperatura della custom_area in ventuno gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
14,puoi cambiare la temperatura della custom_area in ventuno gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
15,puoi cambiare la temperatura della custom_area in venti gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
16,puoi cambiare la temperatura della custom_area in venti gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
17,puoi cambiare la temperatura della custom_area in venti gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
18,puoi cambiare la temperatura della custom_area in diciannove gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
